customer_id,satisfaction_score,survey_date,tier,points
C084,3.0,2023-12-01,,
C054,1.0,2023-12-02,Gold,8568.0
C071,10.0,2023-12-03,Bronze,6256.0
C046,2.0,2023-12-04,Silver,6258.0
C045,9.0,2023-12-05,Silver,5863.0
C040,2.0,2023-12-06,,
C023,3.0,2023-12-07,,
C081,1.0,2023-12-08,,
C011,10.0,2023-12-09,,
C001,1.0,2023-12-10,Platinum,9957.0
C019,7.0,2023-12-11,,
C031,4.0,2023-12-12,Gold,6217.0
C074,2.0,2023-12-13,,
C034,9.0,2023-12-14,Bronze,141.0
C091,9.0,2023-12-15,Platinum,1986.0
C005,1.0,2023-12-16,Bronze,1771.0
C077,2.0,2023-12-17,Gold,9053.0
C078,6.0,2023-12-18,Silver,9634.0
C013,9.0,2023-12-19,Bronze,7078.0
C032,1.0,2023-12-20,Silver,9862.0
C056,1.0,2023-12-21,,
C089,9.0,2023-12-22,Gold,5019.0
C027,1.0,2023-12-23,Silver,4078.0
C043,6.0,2023-12-24,Bronze,2291.0
C070,7.0,2023-12-25,Platinum,7411.0
C016,8.0,2023-12-26,,
C041,3.0,2023-12-27,,
C097,10.0,2023-12-28,,
C010,3.0,2023-12-29,Silver,595.0
C073,6.0,2023-12-30,Gold,2679.0
C012,2.0,2023-12-31,Silver,1269.0
C048,7.0,2024-01-01,,
C086,5.0,2024-01-02,Gold,3437.0
C029,8.0,2024-01-03,Platinum,1616.0
C094,7.0,2024-01-04,,
C006,7.0,2024-01-05,Gold,6656.0
C067,7.0,2024-01-06,,
C066,9.0,2024-01-07,Platinum,4626.0
C036,2.0,2024-01-08,Silver,3666.0
C017,5.0,2024-01-09,Silver,3859.0
C050,6.0,2024-01-10,,
C035,5.0,2024-01-11,,
C008,9.0,2024-01-12,,
C096,5.0,2024-01-13,Silver,5699.0
C028,7.0,2024-01-14,,
C020,9.0,2024-01-15,Gold,9182.0
C082,3.0,2024-01-16,Bronze,6205.0
C026,10.0,2024-01-17,,
C063,9.0,2024-01-18,Gold,4303.0
C014,4.0,2024-01-19,,
C009,,,Bronze,8948.0
C083,,,Silver,8412.0
C064,,,Silver,532.0
C051,,,Gold,1136.0
C024,,,Gold,5775.0
C061,,,Platinum,235.0
C025,,,Bronze,1290.0
C039,,,Gold,7046.0
C057,,,Silver,2621.0
C076,,,Gold,9474.0
C030,,,Gold,2617.0
C092,,,Gold,4193.0
C042,,,Platinum,7646.0
C022,,,Platinum,750.0
C085,,,Gold,3040.0
C088,,,Silver,8549.0
C098,,,Platinum,4678.0
C021,,,Gold,5296.0
C090,,,Platinum,6470.0
C038,,,Bronze,1138.0
C060,,,Silver,5279.0
C002,,,Gold,7973.0
C075,,,Platinum,1156.0
C080,,,Bronze,8861.0
C015,,,Gold,4323.0
C055,,,Bronze,3424.0
C052,,,Silver,3442.0
C007,,,Gold,7102.0
C099,,,Platinum,1540.0
C044,,,Silver,4640.0
