customer_id,satisfaction_score,survey_date,tier,points
C084,3.0,2023-12-01,,
C054,1.0,2023-12-02,Bronze,103.0
C071,3.0,2023-12-03,Silver,9603.0
C046,3.0,2023-12-04,Silver,2412.0
C045,3.0,2023-12-05,Platinum,1209.0
C040,9.0,2023-12-06,,
C023,4.0,2023-12-07,,
C081,6.0,2023-12-08,,
C011,7.0,2023-12-09,,
C001,5.0,2023-12-10,Gold,3754.0
C019,10.0,2023-12-11,,
C031,3.0,2023-12-12,Gold,3864.0
C074,7.0,2023-12-13,,
C034,1.0,2023-12-14,Silver,4293.0
C091,1.0,2023-12-15,Bronze,4377.0
C005,8.0,2023-12-16,Bronze,1001.0
C077,8.0,2023-12-17,Gold,7741.0
C078,5.0,2023-12-18,Silver,7689.0
C013,7.0,2023-12-19,Bronze,2415.0
C032,3.0,2023-12-20,Platinum,4983.0
C056,10.0,2023-12-21,,
C089,2.0,2023-12-22,Platinum,2540.0
C027,8.0,2023-12-23,Silver,9602.0
C043,3.0,2023-12-24,Bronze,2254.0
C070,2.0,2023-12-25,Gold,4275.0
C016,10.0,2023-12-26,,
C041,4.0,2023-12-27,,
C097,7.0,2023-12-28,,
C010,8.0,2023-12-29,Gold,5174.0
C073,5.0,2023-12-30,Bronze,8816.0
C012,2.0,2023-12-31,Gold,5843.0
C048,7.0,2024-01-01,,
C086,9.0,2024-01-02,Bronze,9981.0
C029,6.0,2024-01-03,Platinum,9755.0
C094,7.0,2024-01-04,,
C006,5.0,2024-01-05,Bronze,2101.0
C067,6.0,2024-01-06,,
C066,1.0,2024-01-07,Bronze,1811.0
C036,8.0,2024-01-08,Gold,2195.0
C017,3.0,2024-01-09,Gold,9958.0
C050,5.0,2024-01-10,,
C035,6.0,2024-01-11,,
C008,5.0,2024-01-12,,
C096,2.0,2024-01-13,Silver,9801.0
C028,4.0,2024-01-14,,
C020,7.0,2024-01-15,Bronze,8159.0
C082,10.0,2024-01-16,Platinum,5512.0
C026,1.0,2024-01-17,,
C063,1.0,2024-01-18,Platinum,9834.0
C014,9.0,2024-01-19,,
C009,,,Bronze,8057.0
C083,,,Bronze,7681.0
C064,,,Silver,9128.0
C051,,,Bronze,6385.0
C024,,,Bronze,2889.0
C061,,,Gold,7953.0
C025,,,Bronze,1106.0
C039,,,Silver,8209.0
C057,,,Platinum,8148.0
C076,,,Bronze,8995.0
C030,,,Silver,9473.0
C092,,,Platinum,2290.0
C042,,,Platinum,4551.0
C022,,,Gold,9785.0
C085,,,Silver,4175.0
C088,,,Silver,5625.0
C098,,,Platinum,7058.0
C021,,,Gold,4812.0
C090,,,Bronze,4587.0
C038,,,Gold,3083.0
C060,,,Bronze,6047.0
C002,,,Bronze,244.0
C075,,,Platinum,8248.0
C080,,,Bronze,8591.0
C015,,,Gold,3084.0
C055,,,Gold,9958.0
C052,,,Bronze,2844.0
C007,,,Platinum,8439.0
C099,,,Platinum,835.0
C044,,,Silver,4572.0
